ID,属,品種名,購入場所,購入価格,メモ
AGV001,アガベ,ベネズエラ,グリーンマーケット,,
AGV002,アガベ,シジゲラ,グリーンマーケット,,
AGV003,アガベ,雷神,萩原,,
AGV004,アガベ,グリーングロー,ガーデンセンター不二,,
AGV005,アガベ,ホリダsspホリダ,坪井健樹園,,
AGV006,アガベ,カルウィンスキー,Seed stock,,実生
AGV007,アガベ,ビスカイノエンシス,Seed stock,,実生
AGV008,アガベ,フランゾシニーアメリカーナ,Seed stock,,実生
AGV009,アガベ,ショッティ,Seed stock,,実生
AGV010,アガベ,パリーコウエシー,Seed stock,,実生
AGV011,アガベ,ユタエンシスエボリスピナ,Seed stock,,実生
AGV012,アガベ,コロラータ,Seed stock,,実生
AGV013,売却,ポタトラムドワーフ,Seed stock,,実生
AGV014,DEATH,チタノタドワーフ,富山サボテンクラブ,,
AGV015,アガベ,オテロイ,メルカリ,,
AGV016,アガベ,グアダラハラナ,メルカリ,,
AGV017,アガベ,ホリダ,メルカリ,,
AGV018,アガベ,パープソラム,メルカリ,,
AGV019,アガベ,オバティフォリア,メルカリ,,
AGV020,アガベ,パリートランカータ,メルカリ,,
AGV021,アガベ,ジェミニフローラ,メルカリ,,
AGV022,アガベ,ヒエミフローラ,メルカリ,,
AGV023,アガベ,キシロナカンサブルー,メルカリ,,
AGV024,アガベ,チタノタブルー,メルカリ,,
AGV025,アガベ,アメリカーナ,ジモティー,,
AGV026,アガベ,ワコマヒー,Seed stock,,実生
AGV027,アガベ,王妃雷神,日東農園,,
AGV028,アガベ,王妃雷神錦,日東農園,,
AGV028,アガベ,王妃雷神錦,ヤフオク青田パンダ,,
AGV029,アガベ,モンタナ実生,Seed stock,,実生
AGV030,アガベ,オテロイ実生,Seed stock,,実生
AGV031,アガベ,マクロアカンサ錦,メルカリ,"¥1,500",
AGV032,アガベ,チタノタブルー実生,Seed stock,,実生
AGV033,アガベ,パラサナ実生,Seed stock,,実生
AGV034,アガベ,マクロアカンサ実生,Seed stock,,実生
AGV035,アガベ,ニッケルシー実生,Seed stock,,実生
AGV036,アガベ,パープルヘイズ実生,Seed stock,,実生
AGV037,アガベ,アズールモントレー,Seed stock,,実生
AGV039,アガベ,パリー実生,Seed stock,,実生
AGV040,アガベ,ミティス,Seed stock,,実生
AGV041,アガベ,屈原の舞扇,メルカリ,,
AGV042,アガベ,白鯨,メルカリ,,
AGV043,アガベ,アメリカーナ華厳,メルカリ,,
AGV044,アガベ,イシスメンシス,メルカリ,,
AGV045,アガベ,五色万代,ガーデンセンター不二,,
AGV046,アガベ,セバスティアナ,シマヤ,"¥1,000",
AGV047,アガベ,グイエンゴーラ錦,メルカリ,,
AGV048,アガベ,アメリカーナエクスパンサ,メルカリ,,
AGV049,アガベ,ケルチョベイ（カーコビー),ファボーレ,,
AGV050,アガベ,シャークスキン,T plants labo,,
AGV051,アガベ,BB,メルカリ,,
AGV052,アガベ,ロダカンサドワーフ,Seed stock,,実生
AGV053,アガベ,ジプシコラ,Seed stock,,実生
AGV054,アガベ,エレミティアナ,Seed stock,,実生
AGV055,アガベ,ディフォルミス,Seed stock,,実生
AGV056,アガベ,アスペリーマポトシエンシス,Seed stock,,実生
AGV057,アガベ,エレミーティアナサブデンタータ,Seed stock,,実生
AGV058,アガベ,ストリクタルブラ,Seed stock,,実生
AGV059,アガベ,ジェントリーラエスコンディダ,Seed stock,,実生
AGV060,アガベ,オアハカジャングルジャイアント,Seed stock,,実生
AGV061,アガベ,グアダラハラナ2,くむい,,
AGV062,アガベ,ロファンサ,ファボーレ,"¥1,000",
AGV063,アガベ,スノーグロー,坪井健樹園,,
AGV064,アガベ,フィリフェラxイシスメンシス,シマヤ,"¥2,000",
AGV065,アガベ,FO-076,くむい,,
AGV066,アガベ,ピンチラ,ヤフオク,¥500,
AGV067,アガベ,プミラ,ヤフオク,¥500,
AGV068,DETH,ホリダ2,ヤフオク,,
AGV069,アガベ,笹の雪,近所のイベント,,
AGV070,アガベ,チタノタブルーくむい,くむい,,
AGV071,アガベ,ピーコッキー?,メルカリ,,
AGV072,アガベ,パリーホーチエンシス,くむい,¥0,
AGV073,アガベ,五色万代,ガーデンセンター不二,,
AGV074,アガベ,パリーホーチエンシス斑入り,くむい,¥0,
AGV075,アガベ,グリーングロー2,ファボーレ,,
AGV076,アガベ,パリートランカータ2,コニファーテラス,,
AGV077,アガベ,笹の雪氷山,メルカリ,"¥2,980",
AGV077,アガベ,笹の雪氷山,メルカリ,,
AGV078,アガベ,ブルーグロー,コニファーテラス,,
AGV079,アガベ,リトルシャーク,コニファーテラス,,
AGV080,アガベ,オカヒー,コニファーテラス,,
AGV081,アガベ,ロマニー,コニファーテラス,,
AGV082,アガベ,笹の雪黄外斑,花蒐,,
AGV083,アガベ,ニッケルシー,アガベサイト,"¥1,500",
AGV084,アガベ,SPMix,アガベサイト,¥500,
AGV085,アガベ,フランソワ,アガベサイト,"¥2,000",
AGV086,アガベ,マクロアカンサ,アガベサイト,¥800,
AGV087,アガベ,サロモニー,メルカリ,"¥1,300",
AGV088,アガベ,バーントバーガンディ錦,メルカリ,"¥1,500",
AGV089,アガベ,マッケルベヤナ,アガベサイト,"¥1,500",
AGV090,アガベ,サルミニアナフェロックス,萩原,¥0,
AGV091,アガベ,マシュマロクリーム,メルカリ,,
AGV092,アガベ,OGI謎,萩原,,
AGV093,アガベ,ユタエンシスx笹の雪,富山サボテンクラブ,,
AGV094,アガベ,コロラータxジェントリー,メルカリ,¥900,
AGV095,アガベ,コロラータxセルシーノバ,メルカリ,¥625,
AGV096,アガベ,ホリダペロテンシス,メルカリ,¥625,
AGV097,アガベ,T's001Grex,メルカリ,¥500,
AGV098,アガベ,モンタナくむ,くむい,,
AGV099,アガベ,アメリカーナ黄覆輪斑,ジモティー,,
AGV100,アガベ,ポタトラム錦,マルサム,,
AGV101,アガベ,ミスターリップル,メルカリ,¥625,
AGV102,アガベ,No.1錦,グリーンマーケット,,
AGV103,アガベ,チタノタシーザー,ヤフオク青田パンダ,,
AGV104,アガベ,イシスメンシス楊貴妃,ヤフオク青田パンダ,,
AGV105,アガベ,マルモラータパピリオプラタノイデス,メルカリ,,
AGV106,アガベ,テザーティスノーデビル,ヤフオク青田パンダ,,
AGV107,アガベ,コロラータシュプリーム,メルカリ,¥625,
AGV108,アガベ,チタノタシーズナルマルジナータ,ヤフオク青田パンダ,,
AGV109,アガベ,ボビコルヌタカウズホーン,ヤフオク青田パンダ,,
AGV110,アガベ,パリーホーチエンシス斑入り2,ヤフオク青田パンダ,,
AGV111,アガベ,マクロアカンサxイシスメンシス,ヤフオク青田パンダ,,
AGV112,アガベ,チタノタレッドキャットウィーズル,ヤフオク青田パンダ,,
AGV113,アガベ,チタノタフィリグリー,ヤフオク青田パンダ,,
AGV114,アガベ,チタノタSAD,ヤフオク青田パンダ,,
AGV115,アガベ,アプラナータクリームスパイク,ヤフオク青田パンダ,,
AGV116,アガベ,ポタトラムスノーフォール,ヤフオク青田パンダ,,
AGV117,アガベ,ポタトラムトレードウィンズ,ヤフオク,,
AGV118,アガベ,笹の雪スーパーワイド,富山サボテンクラブ,,
AGV119,アガベ,チタノタカニ,ヤフオク青田パンダ,,
AGV120,アガベ,ユニビタータホワイト,ヤフオク,,
AGV121,アガベ,ナンバーワン錦,富山サボテンクラブ,,
AGV122,アガベ,チタノタホワイトアイス,ヤフオク青田パンダ,,
AGV123,アガベ,チタノタ白鯨,富山サボテンクラブ,,
AGV124,アガベ,笹の雪黄中斑,R plants,,
AGV125,アガベ,ショータイムオバティフォリアx笹の雪,メルカリ,,
AGV126,アガベ,曲刺八雷ポタトラムxマクロアカンサ,メルカリ,,
AGV127,アガベ,ブルーエンバー,コメリ,,
AGV128,アガベ,不明,北山ナーセリー,,
AGV129,アガベ,アルボピロサ,メルカリ,,
AGV130,アガベ,ピクシー,メルカリ,,
AGV131,アガベ,笹の雪輝山,pico庵,,
AGV132,アガベ,セルシーノバ,コメリ,¥625,
AGV133,アガベ,ポタトラムスーパークラウン,くむい,,
AGV134,アガベ,アメリカーナ那智の輝き,メルカリ,,
PCH001,パキポディウム,サンデルシー,坪井健樹園,,
PCH002,パキポディウム,ロスラーツムsubsp.rosulatumvar.drakei,Seed stock,,
PCH003,パキポディウム,エニグマチカム,Seed stock,,
PCH004,パキポディウム,ロスラーツム,Seed stock,,
PCH005,パキポディウム,レウコキサンツム恵比寿笑,Seed stock,,
PCH006,パキポディウム,ホロンベンセ,Seed stock,,
PCH007,パキポディウム,グラキリス,Seed stock,,
PCH008,パキポディウム,ビスピノーサム,くむい,,
PCH009,パキポディウム,グラキリス2,Seed stock,,実生
PCH010,パキポディウム,デンシフローラム,ヤフオク,,実生
PCH011,パキポディウム,グラキリス2,ヤフオク,,実生
PLT001,ハオルチア,オブツーサ,,,
PLT003,ハオルチア,宝草錦,ジモティー,,
PLT004,ハオルチア,バディア媚鳳,ヤフオク,,
PLT005,ハオルチア,オブツーサhyb,富山サボテンクラブ,,
PLT006,ハオルチア,寿,コメリ,,
PLT007,サボテン,アストロフィツム鸞鳳玉白,グリーンマーケット,,
PLT008,ユーフォルビア,笹蟹丸,グリーンマーケット,,
PLT009,サボテン,マミラニア,ダイソー,,
PLT010,サボテン,銀手毬,ダイソー,,
PLT011,サボテン,テフロカクタス武蔵野,ジモティー,,
PLT012,サボテン,アストロフィツム鸞鳳玉緑,3coins,,
PLT013,エケベリア,ヤマトニシキ,ダイソー,,
PLT014,ビカクシダ,ネザーランド(ビフルカツム),北山ナーセリー,,
PLT015,サラセニア,フィラデルフィア,コメリ,,
PLT016,サラセニア,スワニアナ,コメリ,,
PLT017,サラセニア,ジュディスピンドル,コメリ,,
PLT018,サラセニア,プルプレアベノーサ,コメリ,,
PLT019,ハエトリソウ,不明,コメリ,,
PLT020,サラセニア,スカーレットベル,コメリ,,
PLT021,DETH,レッドアラタ,コメリ,,
PLT022,DETH,グラシリス,コメリ,,
PLT023,DETH,アラータ,グリーンマーケット,,
PLT024,エアプランツ,キセログラフィカ,ファボーレ,,
PLT025,ユーフォルビア,ハナキリン,グリーンマーケット,,
PLT026,ビカクシダ,マウントルイス,萩原,,
PLT030,ユッカ,アロイフォリア,コメリ,,
PLT031,ハエトリソウ,品種もの,コメリ,,
PLT032,サラセニア,不明,日東農園,,
PLT033,ユーフォルビア,グラニティコラ,Seed stock,,
PLT034,ユーフォルビア,ステラータ飛龍,Seed stock,,
PLT035,サボテン,ブーファン,Seed stock,,
PLT035,ブーファン,ブーファン,Seed stock,,
PLT036,サボテン,モニラニアモニリフォルメ,Seed stock,,
PLT037,サボテン,クイーンマハラジャ,シマヤ,,
PLT038,サボテン,キングマハラジャ,シマヤ,,
PLT039,ハオルチア,王扇,萩原,,
PLT040,ハオルチア,オブツーサ1,富山サボテンクラブ,,
PLT041,ハオルチア,青蟹,不明,,
PLT042,ハオルチア,艶密コンプト,坪井健樹園,,
PLT043,ハオルチア,アスペルラ,メルカリ,,
PLT044,ハオルチア,ヘルバゼア,メルカリ,,
PLT045,ハオルチア,大型丸窓オブツーサ,メルカリ,,
PLT046,ハオルチア,大型大玉オブツーサ,メルカリ,,
PLT047,ガステリア,臥牛,富山サボテンクラブ,,
PLT048,マンガベ,チョコレートチップ,paypayフリマ,,
PLT049,マンガベ,マッチョモカ,メルカリ,,
PLT050,マンガベ,ブラッドスポット,メルカリ,,
PLT051,マンガベ,パープルピープルイーター,メルカリ,,
PLT053,マンガベ,シルバーフォックス,メルカリ,,
PLT054,ハオルチア,赤線レンズオブツーサ,富山サボテンクラブ,,
PLT055,ハオルチア,紫オブツーサ,富山サボテンクラブ,,
PLT056,ハオルチア,シンシア,坪井健樹園,,
PLT057,ビカクシダ,ウィリンキー,北山ナーセリー,,
PLT058,ハオルチア,青雲の舞,コメリ,,
PLT059,ユッカ,バリエガータ,コメリ,,
PLT060,ビカクシダ,バットマン(ステマリアxエレファントティス),北山ナーセリー,,
PLT061,ユーフォルビア,オベサブロウ,グリーンマーケット,,
PLT063,ビカクシダ,ウィリンキーバクテリア,ヤフオク,,
PLT064,ビカクシダ,ライディーン(ビーチーワイルドxマウントルイス),paypayフリマ,,
PLT065,ビカクシダ,E-1(ビフルカツムの白い個体),paypayフリマ,,
PLT066,ビカクシダ,バンナ#A(ウィリンキーxビフルカツム),paypayフリマ,,
PLT067,マンガベ,フレックル&スペックル,メルカリ,,
PLT068,マンガベ,マンガべパープルピープルイーター2,メルカリ,,
PLT069,ビカクシダ,リトルフィンガー(ビフルカツムxウィリンキー),メルカリ,,
PLT070,ビカクシダ,ヒリーTT1,メルカリ,,
PLT071,ビカクシダ,コロナリウム,メルカリ,,
PLT072,ビカクシダ,マセラティ(マウントルイスxヒリー),メルカリ,,
PLT073,ビカクシダ,vandakamix,メルカリ,,
PLT074,DETH,フーンシキ(不明ワリチーxビーチー?),メルカリ,,
PLT075,アロエ,アロエ１,ダイソー,,
PLT076,マンガベ,クレイジーコーリック品種不明,メルカリ,¥800,
PLT077,マンガベ,メイアンクイーン,メルカリ,"¥2,500",
PLT078,マンガベ,カレイドスコープ,メルカリ,"¥2,500",
PLT079,ビカクシダ,ヘリオス(ヒリー),くむい,,
PLT080,チレコドン,ストリアツス,ボタニカルマーケット,,実生
PLT081,ビカクシダ,ビーチーハイシールド,萩原,,
PLT082,ウツボカズラ,ミランダ,坪井健樹園,"¥2,500",
PLT083,エケベリア,不明ミックス,,,
PLT084,サンセベリア,緑,コメリ,,
PLT085,ガジュマル,ガジュマル,コメリ,,
PLT086,ユッカ,ペリクローサ,Seed stock,,
PLT087,DETH,グランデ,北山ナーセリー,"¥3,000",
PLT088,ビカクシダ,ビーチー,北山ナーセリー,,
PLT091,モンステラ,モンステラタイコンステレーション,はなあつめ,"¥7,000",
PLT092,マンガベ,キャッチアウェーブ,メルカリ,"¥2,500",
PLT093,リトープス,MIX,Seed stock,,
PLT094,ハオルチア,万象,メルカリ,,
PLT095,ハオルチア,静鼓,富山サボテンクラブ,,
PLT096,ハオルチア,特大線コンプト,シマヤ,,
PLT097,ハオルチア,トロピカルナイト,シマヤ,,
PLT098,ハオルチア,ホワイトピクタ,シマヤ,,
PLT099,ハオルチア,十二の爪,コメリ,,
PLT100,マンガベ,レッドウィング,メルカリ,"¥2,500",
PLT101,アロエ,アロエ２,ダイソー,,
PLT102,マンガベ,バッドヘアデイ,メルカリ,"¥2,500",
PLT103,マンガベ,バッドヘアデイ2,PW公式,,
PLT104,マンガベ,ラベンダーレディ,PW公式,,
PLT105,ビカクシダ,IVA（ヒリー系？）,坪井健樹園,,
PLT106,マンガベ,姫乱れ雪×マンフレダ,メルカリ,,
PLT107,ハオルチア,十二の爪2,コメリ,,
PLT108,ハオルチア,桜水晶,グリーンマーケット,,
PLT109,エアプランツ,キセログラフィカ2,ファボーレ,,
PLT110,エアプランツ,不明,シマヤ,,
PLT111,サンセベリア,ゴールデンハニー,コメリ,,
PLT112,マンガベ,シルバーフォックス2,PW公式,,
PLT113,マンガベ,品種不明ぺんぺん草産,ヤフオク,,
PLT113,マンガベ,品種不明ぺんぺん草産,メルカリ,,
PLT114,ウツボカズラ,ベントリコーサ,シマヤ,,
PLT114,ウツボカズラ,ベントリコーサ,シマヤ,"¥1,000",
PLT115,モンステラ,ジェイトシャトルコック,,,
PLT116,マンガベ,ムーングロウ,PW公式,,
PLT117,マンガベ,フォーリングウォーター,PW公式,,
PLT118,マンガベ,スノーレオパード,メルカリ,"¥1,500",
PLT119,マンガベ,プレイングハンズ,メルカリ,"¥2,200",
PLT120,マンガベ,フォクシー・レディ,メルカリ,"¥1,500",
PLT120,マンガベ,フォクシー・レディ,ヤフオク,,
PLT121,マンガベ,トゥースフェアリー,メルカリ,"¥1,700",
PLT122,ビカクシダ,P.nangnon(diversifoliumxveitchii),インスタ,,
PLT123,ビカクシダ,ビフルカツムなんか白い,シマヤ,,
PLT124,ウツボカズラ,マキシマ,シマヤ,,
PLT125,パキコルムス,パキコルムスディスカラー(象の木),くむい,,
PLT126,マンガベ,交配不明,メルカリ,¥625,
PLT127,マンガベ,ブラッドスポットxジプソフィラ,メルカリ,¥900,
PLT128,マンガベ,パルメリーxブラッドスポット,メルカリ,¥900,
PLT129,リトープス,カラスモンタナ,富山サボテンクラブ,,
PLT130,ハオルチア,不明,,,
PLT131,ハオルチア,ピグマエア？錦,グリーンマーケット,,
PLT132,ハオルチア,姫美人錦,ヤフオク,,
PLT133,ハオルチア,ロックウッディ,ヤフオク,,
PLT134,ハオルチア,タイガーピグ,富山サボテンクラブ,,
PLT135,ハオルチア,モルドル,ヤフオク,,
PLT136,ハオルチア,抹茶,ヤフオク,,
PLT137,ハオルチア,雪うさぎ,ヤフオク,,
PLT138,ハオルチア,魔剣,ヤフオク,,
PLT139,ハオルチア,オブツーサ錦,花蒐,,
PLT140,ハオルチア,レツーサ?錦,グリーンマーケット,,
PLT141,フィロデンドロン,フィロデンドロンバーキン,萩原,,
PLT142,フォークイエリア,フォルモサ,Seed stock,,実生
PLT143,オトンナ,オトンナヘレー,ヤフオク,,実生
PLT144,亀甲竜,亀甲竜,ヤフオク,,実生
PLT145,センナ,メリディオナリス,ヤフオク,,実生
PLT146,ペラルゴニウム,アッペンディクラツム,北陸サボテン会,,実生
PLT146,,アッペンディクラツム,pico庵,,実生
PLT147,フォークイエリア,ファシクラータ,pico庵,,実生
aga999,test,test,test,100000,test
AGA-999,test,test1,test2,10000,test3
aga999,test,test,test,10000,
AGV014,DEATH,チタノタドワーフ,富山サボテンクラブ,,
AGV014,DEATH,チタノタドワーフ,富山サボテンクラブ,,
